order_book_id,date,close,volume
000852.XSHG,2015-07-24,10449.7497,25880692100.0
000852.XSHG,2015-07-27,9719.5505,22717970200.0
000852.XSHG,2015-07-28,9284.5411,21978732900.0
000852.XSHG,2015-07-29,9727.2317,18633106800.0
000852.XSHG,2015-07-30,9460.7288,20116853300.0
000852.XSHG,2015-07-31,9223.6361,14950542000.0
000852.XSHG,2015-08-03,8723.5937,14617514600.0
000852.XSHG,2015-08-04,9265.221,16639467800.0
000852.XSHG,2015-08-05,9240.8846,18859100600.0
000852.XSHG,2015-08-06,9229.3485,14382318400.0
000852.XSHG,2015-08-07,9585.1364,18553277100.0
000852.XSHG,2015-08-10,10077.9421,22400708800.0
000852.XSHG,2015-08-11,10153.7138,24234325200.0
000852.XSHG,2015-08-12,10005.9294,20256043200.0
000852.XSHG,2015-08-13,10308.7894,20465322700.0
000852.XSHG,2015-08-14,10377.9785,23401125300.0
000852.XSHG,2015-08-17,10563.1326,22307774600.0
000852.XSHG,2015-08-18,9806.701,25701516700.0
000852.XSHG,2015-08-19,10057.8401,22939908000.0
000852.XSHG,2015-08-20,9739.9163,19871242100.0
000852.XSHG,2015-08-21,9208.1541,16887377500.0
000852.XSHG,2015-08-24,8506.7235,10930497600.0
000852.XSHG,2015-08-25,7882.1122,11286036800.0
000852.XSHG,2015-08-26,7543.7843,20115735800.0
000852.XSHG,2015-08-27,7793.5388,16520642700.0
000852.XSHG,2015-08-28,8270.9594,18887257300.0
000852.XSHG,2015-08-31,7950.4591,16185587200.0
000852.XSHG,2015-09-01,7441.3381,13552018400.0
000852.XSHG,2015-09-02,7129.9698,14211358000.0
000852.XSHG,2015-09-07,7291.4682,13083151000.0
000852.XSHG,2015-09-08,7651.5004,12774965400.0
000852.XSHG,2015-09-09,7956.7285,18952344400.0
000852.XSHG,2015-09-10,7842.999,14658442000.0
000852.XSHG,2015-09-11,7952.1356,12906175400.0
000852.XSHG,2015-09-14,7412.3015,15716442300.0
000852.XSHG,2015-09-15,7034.8998,12842604900.0
000852.XSHG,2015-09-16,7500.6097,14545906200.0
000852.XSHG,2015-09-17,7428.6373,17920258100.0
000852.XSHG,2015-09-18,7556.2034,12746752700.0
000852.XSHG,2015-09-21,7847.8848,14657248800.0
000852.XSHG,2015-09-22,7880.8355,16812774600.0
000852.XSHG,2015-09-23,7824.066,14683714900.0
000852.XSHG,2015-09-24,7928.8247,14369205800.0
000852.XSHG,2015-09-25,7640.173,14633482400.0
000852.XSHG,2015-09-28,7839.6176,10864716900.0
000852.XSHG,2015-09-29,7720.6772,11115331200.0
000852.XSHG,2015-09-30,7727.5092,9567723500.0
000852.XSHG,2015-10-08,8056.2789,14074278500.0
000852.XSHG,2015-10-09,8180.3966,15500313100.0
000852.XSHG,2015-10-12,8522.6293,20946190000.0
000852.XSHG,2015-10-13,8651.0521,18967591600.0
000852.XSHG,2015-10-14,8534.7257,18600267600.0
000852.XSHG,2015-10-15,8808.4649,19466164500.0
000852.XSHG,2015-10-16,8943.0176,22804022700.0
000852.XSHG,2015-10-19,8935.3908,22127763400.0
000852.XSHG,2015-10-20,9116.5385,20310648200.0
000852.XSHG,2015-10-21,8541.607,25880256700.0
000852.XSHG,2015-10-22,8894.7568,20363135800.0
000852.XSHG,2015-10-23,9182.5529,22877516900.0
000852.XSHG,2015-10-26,9262.8897,24222181700.0
000852.XSHG,2015-10-27,9345.9663,22213167400.0
000852.XSHG,2015-10-28,9131.8703,20545649800.0
000852.XSHG,2015-10-29,9214.5876,17635029000.0
000852.XSHG,2015-10-30,9188.2657,18426279300.0
000852.XSHG,2015-11-02,8944.6834,16832227700.0
000852.XSHG,2015-11-03,8924.415,14035808900.0
000852.XSHG,2015-11-04,9396.8421,20404583800.0
000852.XSHG,2015-11-05,9391.4462,24507576400.0
000852.XSHG,2015-11-06,9629.2803,21652026200.0
000852.XSHG,2015-11-09,9816.0341,23649632300.0
000852.XSHG,2015-11-10,9911.24,23582202800.0
000852.XSHG,2015-11-11,10100.5106,22320052000.0
000852.XSHG,2015-11-12,10135.0823,23027267300.0
000852.XSHG,2015-11-13,9934.7686,22084636000.0
000852.XSHG,2015-11-16,10194.7776,18206408200.0
000852.XSHG,2015-11-17,10109.3985,23570729700.0
000852.XSHG,2015-11-18,9928.6633,17833159300.0
000852.XSHG,2015-11-19,10235.3488,17287393800.0
000852.XSHG,2015-11-20,10440.3518,22041068900.0
000852.XSHG,2015-11-23,10341.449,22933842400.0
000852.XSHG,2015-11-24,10459.5977,16860735400.0
000852.XSHG,2015-11-25,10696.3083,20127148500.0
000852.XSHG,2015-11-26,10620.8318,21464993900.0
000852.XSHG,2015-11-27,9933.4955,22280913800.0
000852.XSHG,2015-11-30,10001.1878,19745447100.0
000852.XSHG,2015-12-01,9955.2047,16458051300.0
000852.XSHG,2015-12-02,9822.0548,14894643500.0
000852.XSHG,2015-12-03,10102.8925,14632445000.0
000852.XSHG,2015-12-04,10081.573,16144011500.0
000852.XSHG,2015-12-07,10238.0191,15151237900.0
000852.XSHG,2015-12-08,10057.7376,16377225800.0
000852.XSHG,2015-12-09,10034.1939,14217327900.0
000852.XSHG,2015-12-10,10035.4491,14075964900.0
000852.XSHG,2015-12-11,9946.1212,12448637400.0
000852.XSHG,2015-12-14,10118.9023,11808539700.0
000852.XSHG,2015-12-15,10278.4692,13173382700.0
000852.XSHG,2015-12-16,10374.2291,14145144400.0
000852.XSHG,2015-12-17,10679.9622,18657213500.0
000852.XSHG,2015-12-18,10629.9701,17309161000.0
000852.XSHG,2015-12-21,10699.6132,15978536300.0
000852.XSHG,2015-12-22,10809.2423,15399100000.0
000852.XSHG,2015-12-23,10638.1595,16942334900.0
000852.XSHG,2015-12-24,10633.1896,12995076500.0
000852.XSHG,2015-12-25,10726.991,12380066500.0
000852.XSHG,2015-12-28,10515.3609,16984814000.0
000852.XSHG,2015-12-29,10653.7085,12930432400.0
000852.XSHG,2015-12-30,10806.704,13909642800.0
000852.XSHG,2015-12-31,10614.3785,12997947400.0
000852.XSHG,2016-01-04,9694.8363,11730414400.0
000852.XSHG,2016-01-05,9452.0406,16862804400.0
000852.XSHG,2016-01-06,9709.5692,13963013900.0
000852.XSHG,2016-01-07,8856.4914,4049542800.0
000852.XSHG,2016-01-08,8876.2526,15692429900.0
000852.XSHG,2016-01-11,8205.122,14356881300.0
000852.XSHG,2016-01-12,8187.9598,12117124200.0
000852.XSHG,2016-01-13,7836.1229,11317753000.0
000852.XSHG,2016-01-14,8157.7372,12293407700.0
000852.XSHG,2016-01-15,7868.1676,11923095300.0
000852.XSHG,2016-01-18,8060.8792,10650582700.0
000852.XSHG,2016-01-19,8388.3835,12730422400.0
000852.XSHG,2016-01-20,8321.3921,12908104800.0
000852.XSHG,2016-01-21,7944.5669,12047289600.0
000852.XSHG,2016-01-22,8074.2854,10111675900.0
000852.XSHG,2016-01-25,8180.5037,9624817400.0
000852.XSHG,2016-01-26,7545.5442,12067395100.0
000852.XSHG,2016-01-27,7466.7458,12425157700.0
000852.XSHG,2016-01-28,7100.9014,9636216600.0
000852.XSHG,2016-01-29,7385.7587,10228517900.0
000852.XSHG,2016-02-01,7292.6133,8684368600.0
000852.XSHG,2016-02-02,7576.0654,9797843200.0
000852.XSHG,2016-02-03,7630.4588,9448356400.0
000852.XSHG,2016-02-04,7807.4008,10829571600.0
000852.XSHG,2016-02-05,7718.7083,8629786200.0
000852.XSHG,2016-02-15,7726.37,7879468400.0
000852.XSHG,2016-02-16,8069.5941,11556592500.0
000852.XSHG,2016-02-17,8202.1465,12969795000.0
000852.XSHG,2016-02-18,8176.1396,13406347700.0
000852.XSHG,2016-02-19,8239.2559,11278702100.0
000852.XSHG,2016-02-22,8407.8524,13315805100.0
000852.XSHG,2016-02-23,8357.3553,13053093700.0
000852.XSHG,2016-02-24,8364.6626,13609474500.0
000852.XSHG,2016-02-25,7702.5912,15743616300.0
000852.XSHG,2016-02-26,7666.8226,12157417100.0
000852.XSHG,2016-02-29,7183.6763,11534440300.0
000852.XSHG,2016-03-01,7345.0859,11556340800.0
000852.XSHG,2016-03-02,7711.886,14716481900.0
000852.XSHG,2016-03-03,7727.1599,15706242300.0
000852.XSHG,2016-03-04,7418.8006,14115240500.0
000852.XSHG,2016-03-07,7600.4372,11095140800.0
000852.XSHG,2016-03-08,7670.6898,13182252600.0
000852.XSHG,2016-03-09,7500.17,10176186500.0
000852.XSHG,2016-03-10,7376.6974,8740149900.0
000852.XSHG,2016-03-11,7349.567,7524588200.0
000852.XSHG,2016-03-14,7640.1307,12033572900.0
000852.XSHG,2016-03-15,7571.8197,9963609400.0
000852.XSHG,2016-03-16,7484.2256,9135938400.0
000852.XSHG,2016-03-17,7779.8753,13355063600.0
000852.XSHG,2016-03-18,8097.2044,18132273600.0
000852.XSHG,2016-03-21,8325.977,19167507000.0
000852.XSHG,2016-03-22,8311.2112,16407444100.0
000852.XSHG,2016-03-23,8408.6385,14611744800.0
000852.XSHG,2016-03-24,8279.6494,16063735600.0
000852.XSHG,2016-03-25,8343.2422,12455555200.0
000852.XSHG,2016-03-28,8298.7781,14298861300.0
000852.XSHG,2016-03-29,8118.9963,12465056200.0
000852.XSHG,2016-03-30,8438.6835,13963561000.0
000852.XSHG,2016-03-31,8447.1793,15013944500.0
000852.XSHG,2016-04-01,8389.2866,12716105900.0
000852.XSHG,2016-04-05,8635.6667,15630836300.0
000852.XSHG,2016-04-06,8691.2299,15996893600.0
000852.XSHG,2016-04-07,8549.5129,15815055600.0
000852.XSHG,2016-04-08,8484.1743,13341528900.0
000852.XSHG,2016-04-11,8677.4091,14362977900.0
000852.XSHG,2016-04-12,8608.3738,13207214900.0
000852.XSHG,2016-04-13,8729.8406,17406329600.0
000852.XSHG,2016-04-14,8837.0181,13964832100.0
000852.XSHG,2016-04-15,8841.0945,13120761300.0
000852.XSHG,2016-04-18,8715.8501,12618498700.0
000852.XSHG,2016-04-19,8754.5044,11283179500.0
000852.XSHG,2016-04-20,8312.2012,18028650600.0
000852.XSHG,2016-04-21,8198.5109,12119077200.0
000852.XSHG,2016-04-22,8282.424,9597953300.0
000852.XSHG,2016-04-25,8232.4778,8962202400.0
000852.XSHG,2016-04-26,8343.4215,8843055400.0
000852.XSHG,2016-04-27,8323.4579,10293617700.0
000852.XSHG,2016-04-28,8303.5569,10495878500.0
000852.XSHG,2016-04-29,8291.6985,8148585100.0
000852.XSHG,2016-05-03,8558.5784,11571854000.0
000852.XSHG,2016-05-04,8565.1143,11729605200.0
000852.XSHG,2016-05-05,8628.7405,10275992100.0
000852.XSHG,2016-05-06,8276.0331,14657076300.0
000852.XSHG,2016-05-09,7918.1483,11545440700.0
000852.XSHG,2016-05-10,7898.6624,7381121900.0
000852.XSHG,2016-05-11,7823.9797,8109225100.0
000852.XSHG,2016-05-12,7821.9121,8685548400.0
000852.XSHG,2016-05-13,7806.9568,7881483700.0
000852.XSHG,2016-05-16,7961.1464,8333277600.0
000852.XSHG,2016-05-17,7961.502,9975967500.0
000852.XSHG,2016-05-18,7711.9546,9602220200.0
000852.XSHG,2016-05-19,7767.3154,8548560200.0
000852.XSHG,2016-05-20,7860.1279,8548543000.0
000852.XSHG,2016-05-23,7995.5813,9530478100.0
000852.XSHG,2016-05-24,7913.6754,8683164500.0
000852.XSHG,2016-05-25,7889.7299,8480690000.0
000852.XSHG,2016-05-26,7929.4676,9357276900.0
000852.XSHG,2016-05-27,7912.8637,8497382300.0
000852.XSHG,2016-05-30,7867.5968,7524281300.0
000852.XSHG,2016-05-31,8197.5567,13739233900.0
000852.XSHG,2016-06-01,8270.5166,14426687900.0
000852.XSHG,2016-06-02,8369.432,13315798900.0
000852.XSHG,2016-06-03,8391.7632,14038763500.0
000852.XSHG,2016-06-06,8422.4718,11750127800.0
000852.XSHG,2016-06-07,8434.6689,11074422500.0
000852.XSHG,2016-06-08,8431.8915,11468648500.0
000852.XSHG,2016-06-13,8000.8185,13707480700.0
000852.XSHG,2016-06-14,8038.589,9677523400.0
000852.XSHG,2016-06-15,8340.5394,13546280100.0
000852.XSHG,2016-06-16,8358.0342,14445001800.0
000852.XSHG,2016-06-17,8414.5075,14141911800.0
000852.XSHG,2016-06-20,8457.9315,12079272600.0
000852.XSHG,2016-06-21,8350.7618,13544944200.0
000852.XSHG,2016-06-22,8513.5431,11722045000.0
000852.XSHG,2016-06-23,8495.78,13277932700.0
000852.XSHG,2016-06-24,8428.8227,16243564300.0
000852.XSHG,2016-06-27,8646.161,13979418300.0
000852.XSHG,2016-06-28,8730.197,15899867700.0
000852.XSHG,2016-06-29,8745.815,15312529300.0
000852.XSHG,2016-06-30,8741.0992,13470987600.0
000852.XSHG,2016-07-01,8710.5174,12116347300.0
000852.XSHG,2016-07-04,8874.0708,14591971000.0
000852.XSHG,2016-07-05,8914.8403,15807681700.0
000852.XSHG,2016-07-06,8947.1372,14540965800.0
000852.XSHG,2016-07-07,8954.2756,16729329100.0
000852.XSHG,2016-07-08,8939.2585,13316621000.0
000852.XSHG,2016-07-11,8874.9964,14565284000.0
000852.XSHG,2016-07-12,8943.0645,15132425500.0
000852.XSHG,2016-07-13,9023.2366,15368618100.0
000852.XSHG,2016-07-14,9042.763,13138119000.0
000852.XSHG,2016-07-15,8982.8857,12314560600.0
000852.XSHG,2016-07-18,8937.8551,11917500300.0
000852.XSHG,2016-07-19,8996.8328,11146450600.0
000852.XSHG,2016-07-20,8997.8904,11369176200.0
000852.XSHG,2016-07-21,9007.5537,12386417500.0
000852.XSHG,2016-07-22,8931.9659,11971964200.0
000852.XSHG,2016-07-25,8925.3406,11084915100.0
000852.XSHG,2016-07-26,9035.557,10861797000.0
000852.XSHG,2016-07-27,8602.9204,18355003400.0
000852.XSHG,2016-07-28,8571.5646,12490532100.0
000852.XSHG,2016-07-29,8501.0902,9373694000.0
000852.XSHG,2016-08-01,8363.6101,9296339600.0
000852.XSHG,2016-08-02,8445.78,7403589200.0
000852.XSHG,2016-08-03,8482.1982,9059322400.0
000852.XSHG,2016-08-04,8553.0058,9613438600.0
000852.XSHG,2016-08-05,8505.3638,9259957500.0
000852.XSHG,2016-08-08,8607.3981,9441836500.0
000852.XSHG,2016-08-09,8699.3882,11161697400.0
000852.XSHG,2016-08-10,8671.7783,10788860500.0
000852.XSHG,2016-08-11,8531.6919,10167408900.0
000852.XSHG,2016-08-12,8615.0533,8999987400.0
000852.XSHG,2016-08-15,8807.832,14727798700.0
000852.XSHG,2016-08-16,8877.0657,13969728700.0
000852.XSHG,2016-08-17,8911.7475,12591478600.0
000852.XSHG,2016-08-18,8908.3247,13585241800.0
000852.XSHG,2016-08-19,8923.3628,11378626200.0
000852.XSHG,2016-08-22,8810.8425,11651571000.0
000852.XSHG,2016-08-23,8820.2101,10221750100.0
000852.XSHG,2016-08-24,8850.511,9656844900.0
000852.XSHG,2016-08-25,8784.5844,10926424300.0
000852.XSHG,2016-08-26,8814.4644,10176610600.0
000852.XSHG,2016-08-29,8836.9934,9211954300.0
000852.XSHG,2016-08-30,8838.4637,9181080300.0
000852.XSHG,2016-08-31,8838.3802,8937921700.0
000852.XSHG,2016-09-01,8770.7509,9882537200.0
000852.XSHG,2016-09-02,8724.9417,9245676400.0
000852.XSHG,2016-09-05,8761.9617,8891908300.0
000852.XSHG,2016-09-06,8906.8682,11514550800.0
000852.XSHG,2016-09-07,8897.7972,12554006800.0
000852.XSHG,2016-09-08,8938.4306,10444423300.0
000852.XSHG,2016-09-09,8872.3135,10819005200.0
000852.XSHG,2016-09-12,8587.3986,11736756400.0
000852.XSHG,2016-09-13,8656.6797,8881071500.0
000852.XSHG,2016-09-14,8618.1493,8506578700.0
000852.XSHG,2016-09-19,8716.4859,7905835300.0
000852.XSHG,2016-09-20,8712.2831,8060704100.0
000852.XSHG,2016-09-21,8731.9994,7678421300.0
000852.XSHG,2016-09-22,8770.0946,9179103700.0
000852.XSHG,2016-09-23,8729.6107,8946576100.0
000852.XSHG,2016-09-26,8544.1762,9634897700.0
000852.XSHG,2016-09-27,8604.0991,8233348200.0
000852.XSHG,2016-09-28,8592.1261,7572826800.0
000852.XSHG,2016-09-29,8618.606,7620328200.0
000852.XSHG,2016-09-30,8661.019,7198718600.0
000852.XSHG,2016-10-10,8842.818,10431023800.0
000852.XSHG,2016-10-11,8903.459,10442788300.0
000852.XSHG,2016-10-12,8915.4406,10262658700.0
000852.XSHG,2016-10-13,8929.511,10648698200.0
000852.XSHG,2016-10-14,8913.6951,10209982800.0
000852.XSHG,2016-10-17,8832.0944,10611225800.0
000852.XSHG,2016-10-18,8966.6907,10562259600.0
000852.XSHG,2016-10-19,8954.2026,10863127500.0
